category_id,category_name,parent_category,url
,Outillage du plaquiste,Cloison et armature,https://www.bricodepot.fr/produits/materiau-et-gros-oeuvre/isolation-et-cloison/cloison-et-armature/outillage-du-plaquiste
,Cloison amovible modulaire,Cloison et armature,https://www.bricodepot.fr/produits/materiau-et-gros-oeuvre/isolation-et-cloison/cloison-et-armature/cloison-amovible-modulaire
,Placoplâtre,Cloison et armature,https://www.bricodepot.fr/produits/materiau-et-gros-oeuvre/isolation-et-cloison/cloison-et-armature/placoplatre
,Ouate de cellulose,Isolation de la maison,https://www.bricodepot.fr/produits/materiau-et-gros-oeuvre/isolation-et-cloison/isolation-de-la-maison/ouate-de-cellulose
,Isolant mince,Isolation de la maison,https://www.bricodepot.fr/produits/materiau-et-gros-oeuvre/isolation-et-cloison/isolation-de-la-maison/isolant-mince
,Isolant polyuréthane,Isolation de la maison,https://www.bricodepot.fr/produits/materiau-et-gros-oeuvre/isolation-et-cloison/isolation-de-la-maison/isolant-polyurethane
,Isolant polystyrène,Isolation de la maison,https://www.bricodepot.fr/produits/materiau-et-gros-oeuvre/isolation-et-cloison/isolation-de-la-maison/isolant-polystyrene
,Isolant phonique,Isolation de la maison,https://www.bricodepot.fr/produits/materiau-et-gros-oeuvre/isolation-et-cloison/isolation-de-la-maison/isolant-phonique
,Isolation des ouvertures,Isolation de la maison,https://www.bricodepot.fr/produits/materiau-et-gros-oeuvre/isolation-et-cloison/isolation-de-la-maison/isolation-des-ouvertures
,Isolant divers,Isolation de la maison,https://www.bricodepot.fr/produits/materiau-et-gros-oeuvre/isolation-et-cloison/isolation-de-la-maison/isolant-divers
,Mousse polyuréthane,Isolation de la maison,https://www.bricodepot.fr/produits/materiau-et-gros-oeuvre/isolation-et-cloison/isolation-de-la-maison/mousse-polyurethane
,Accessoire isolation,Isolation de la maison,https://www.bricodepot.fr/produits/materiau-et-gros-oeuvre/isolation-et-cloison/isolation-de-la-maison/accessoire-isolation
,Vis et tirefond,"Clouterie, visserie et boulonnerie",https://www.bricodepot.fr/produits/quincaillerie/quincaillerie-et-fixation/clouterie-visserie-et-boulonnerie/vis-et-tirefond
,"Clou, pointe et crochet","Clouterie, visserie et boulonnerie",https://www.bricodepot.fr/produits/quincaillerie/quincaillerie-et-fixation/clouterie-visserie-et-boulonnerie/clou-pointe-et-crochet
,Tige filetée et manchon,"Clouterie, visserie et boulonnerie",https://www.bricodepot.fr/produits/quincaillerie/quincaillerie-et-fixation/clouterie-visserie-et-boulonnerie/tige-filetee-et-manchon
,Ecrou et rondelle,"Clouterie, visserie et boulonnerie",https://www.bricodepot.fr/produits/quincaillerie/quincaillerie-et-fixation/clouterie-visserie-et-boulonnerie/ecrou-et-rondelle
,Boulon,"Clouterie, visserie et boulonnerie",https://www.bricodepot.fr/produits/quincaillerie/quincaillerie-et-fixation/clouterie-visserie-et-boulonnerie/boulon
,Modèle de cuisine,Meuble et aménagement de cuisine sur mesure,https://www.bricodepot.fr/produits/cuisine/meuble-et-amenagement-de-cuisine-sur-mesure/modele-de-cuisine
,Meuble de cuisine,Meuble et aménagement de cuisine sur mesure,https://www.bricodepot.fr/produits/cuisine/meuble-et-amenagement-de-cuisine-sur-mesure/meuble-de-cuisine
,Plan de travail et accessoires,Meuble et aménagement de cuisine sur mesure,https://www.bricodepot.fr/produits/cuisine/meuble-et-amenagement-de-cuisine-sur-mesure/plan-de-travail-et-accessoires
,Crédence et fond de hotte,Meuble et aménagement de cuisine sur mesure,https://www.bricodepot.fr/produits/cuisine/meuble-et-amenagement-de-cuisine-sur-mesure/credence-et-fond-de-hotte
,Rangement et accessoires de cuisine,Meuble et aménagement de cuisine sur mesure,https://www.bricodepot.fr/produits/cuisine/meuble-et-amenagement-de-cuisine-sur-mesure/rangement-et-accessoires-de-cuisine
,Finition de cuisine,Meuble et aménagement de cuisine sur mesure,https://www.bricodepot.fr/produits/cuisine/meuble-et-amenagement-de-cuisine-sur-mesure/finition-de-cuisine
,Radiateur de salle de bain,"Chauffage, plomberie et accessoire de salle de bain",https://www.bricodepot.fr/produits/salle-de-bain-et-wc/chauffage-plomberie-et-accessoire-de-salle-de-bain/radiateur-de-salle-de-bain
